City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Juan Aldama,MX,2021-11-01 01:41:05,24.2908,-103.3944,63.57,32,38,6.2,scattered clouds
127,Eyl,SO,2021-11-01 01:41:06,7.9803,49.8164,76.8,81,20,11.34,few clouds
128,Lincoln,US,2021-11-01 01:36:44,40.8,-96.667,45.28,58,90,3.44,overcast clouds
129,Marystown,CA,2021-11-01 01:41:07,47.1666,-55.1483,47.86,100,100,5.01,overcast clouds
130,Atar,MR,2021-11-01 01:41:07,20.5169,-13.0499,80.2,20,0,5.91,clear sky
131,Saint-Leu,RE,2021-11-01 01:41:08,-21.15,55.2833,67.68,76,4,3.11,clear sky
132,Kurchum,KZ,2021-11-01 01:41:08,48.5722,83.6542,35.58,76,100,3.4,overcast clouds
133,Meadow Lake,US,2021-11-01 01:41:09,34.8014,-106.5436,64.47,32,91,12.21,overcast clouds
134,Smolenka,RU,2021-11-01 01:41:10,52.1352,113.4974,19.47,79,98,2.24,overcast clouds
135,San Patricio,US,2021-11-01 01:41:10,28.017,-97.5169,75.83,60,0,8.57,clear sky
136,Campbellton,CA,2021-11-01 01:42:11,48.0075,-66.6727,52.25,98,100,6.76,overcast clouds
137,Bredasdorp,ZA,2021-11-01 01:42:11,-34.5322,20.0403,61.29,72,100,10.13,overcast clouds
138,Ponta Do Sol,PT,2021-11-01 01:42:12,32.6667,-17.1,72.23,75,52,1.48,broken clouds
139,Cayenne,GF,2021-11-01 01:42:12,4.9333,-52.3333,82.09,82,56,4.0,broken clouds
140,Kananga,CD,2021-11-01 01:42:13,-5.8958,22.4178,67.33,98,100,2.19,moderate rain
141,Talnakh,RU,2021-11-01 01:42:13,69.4865,88.3972,-13.7,98,85,4.41,overcast clouds
142,Atuona,PF,2021-11-01 01:42:14,-9.8,-139.0333,78.73,73,0,17.58,clear sky
143,Chokurdakh,RU,2021-11-01 01:42:15,70.6333,147.9167,-9.38,99,89,6.73,overcast clouds
144,Katsuura,JP,2021-11-01 01:42:15,35.1333,140.3,69.19,79,100,7.7,overcast clouds
145,Khatanga,RU,2021-11-01 01:42:16,71.9667,102.5,5.41,96,100,11.97,light snow
146,Marienburg,PL,2021-11-01 01:42:17,54.0359,19.0266,49.95,78,42,12.3,scattered clouds
147,Bongandanga,CD,2021-11-01 01:42:17,1.5,21.05,69.64,99,100,1.72,overcast clouds
148,Krabi,TH,2021-11-01 01:42:18,8.0726,98.9105,82.98,94,40,4.61,scattered clouds
149,Vardo,NO,2021-11-01 01:42:18,70.3705,31.1107,37.67,75,97,21.61,overcast clouds
150,Mandalgovi,MN,2021-11-01 01:42:19,45.7625,106.2708,36.0,46,100,17.65,overcast clouds
151,Bengkulu,ID,2021-11-01 01:42:19,-3.8004,102.2655,80.38,77,100,2.57,overcast clouds
152,Cabo San Lucas,MX,2021-11-01 01:39:51,22.8909,-109.9124,81.7,77,75,5.01,broken clouds
153,Carmarthen,GB,2021-11-01 01:42:20,51.8555,-4.3054,52.5,82,75,34.52,light rain
154,Belmonte,BR,2021-11-01 01:42:20,-15.8631,-38.8828,77.5,86,27,7.94,scattered clouds
155,Tessalit,ML,2021-11-01 01:39:25,20.1986,1.0114,80.29,15,2,9.98,clear sky
156,Langsa,ID,2021-11-01 01:42:21,4.4683,97.9683,81.64,73,100,0.63,overcast clouds
157,Komsomolskiy,UZ,2021-11-01 01:40:06,40.4272,71.7189,42.22,70,6,4.61,clear sky
158,Ewa Beach,US,2021-11-01 01:42:22,21.3156,-158.0072,83.57,62,20,10.0,few clouds
159,Sitka,US,2021-11-01 01:42:22,57.0531,-135.33,51.69,37,75,10.36,broken clouds
160,Olinda,BR,2021-11-01 01:42:23,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
161,Geraldton,AU,2021-11-01 01:42:24,-28.7667,114.6,68.41,56,75,17.27,broken clouds
162,La Rioja,ES,2021-11-01 01:42:05,42.25,-2.5,50.49,86,100,8.39,light rain
163,Awbari,LY,2021-11-01 01:42:24,26.5921,12.7805,66.0,30,0,2.73,clear sky
164,Cao Bang,VN,2021-11-01 01:42:10,22.6667,106.25,65.98,98,100,0.6,overcast clouds
165,Idlib,SY,2021-11-01 01:42:25,35.9306,36.6339,56.59,72,21,5.84,few clouds
166,Broome,US,2021-11-01 01:38:58,42.2506,-75.833,52.86,78,40,7.0,scattered clouds
167,Matagami,CA,2021-11-01 01:42:26,49.7502,-77.6328,39.31,100,90,11.5,overcast clouds
168,Nanortalik,GL,2021-11-01 01:42:26,60.1432,-45.2371,33.69,68,79,9.98,broken clouds
169,Akdepe,TM,2021-11-01 01:38:59,42.0551,59.3788,33.89,43,0,6.96,clear sky
170,Torbay,CA,2021-11-01 01:42:27,47.6666,-52.7314,45.57,93,75,18.41,broken clouds
